frame,x,y,heading,speed_kmh,steer,accel,reward,termination
0,0.5203,-29.1845,6.1921,38.04,-0.0259,0.866,-0.01,
1,1.0745,-29.2359,6.1908,40.07,-0.0075,0.8586,-0.01,
2,1.6564,-29.2904,6.1897,42.08,-0.0055,0.8541,0.99,
3,2.2659,-29.3481,6.1888,44.08,-0.0047,0.8498,-0.01,
4,2.9028,-29.4088,6.1881,46.06,-0.0032,0.8449,-0.01,
5,3.5669,-29.4723,6.1878,48.03,-0.0015,0.84,-0.01,
6,4.258,-29.5386,6.1876,49.98,-0.0012,0.8351,0.99,
7,4.9758,-29.6074,6.1876,51.92,0.0003,0.8298,-0.01,
8,5.7202,-29.6787,6.1877,53.84,0.0002,0.8247,-0.01,
9,6.4909,-29.7523,6.1879,55.74,0.0011,0.8194,-0.01,
10,7.2876,-29.8282,6.1883,57.63,0.0014,0.8141,0.99,
11,8.1102,-29.9061,6.1887,59.49,0.0016,0.8086,-0.01,
12,8.9584,-29.986,6.1892,61.34,0.0017,0.8032,-0.01,
13,9.832,-30.0679,6.1897,63.17,0.0018,0.7983,0.99,
14,10.7308,-30.1515,6.1904,64.99,0.0026,0.793,-0.01,
15,11.6544,-30.2365,6.1914,66.78,0.0033,0.7875,-0.01,
16,12.6028,-30.3227,6.1926,68.56,0.0039,0.7823,0.99,
17,13.5756,-30.4095,6.1941,70.32,0.0048,0.7772,-0.01,
18,14.5728,-30.4971,6.1956,72.08,0.0045,0.775,0.99,
19,15.5943,-30.5852,6.1972,73.82,0.0049,0.7731,-0.01,
20,16.64,-30.6733,6.1992,75.55,0.006,0.7717,-0.01,
21,17.7098,-30.7613,6.2011,77.29,0.0055,0.7725,0.99,
22,18.8038,-30.849,6.2032,79.02,0.0059,0.7735,-0.01,
23,19.9219,-30.9364,6.2052,80.75,0.0056,0.7744,0.99,
24,21.0642,-31.0224,6.2081,82.48,0.0079,0.7762,-0.01,
25,22.2308,-31.1081,6.2099,84.21,0.0049,0.7779,-0.01,
26,23.4215,-31.1915,6.2132,85.95,0.0087,0.7798,0.99,
27,24.6365,-31.2752,6.2144,87.68,0.003,0.7816,-0.01,
28,25.8758,-31.3549,6.219,89.41,0.0115,0.7835,0.99,
29,27.1392,-31.4365,6.2187,91.15,-0.0007,0.7855,-0.01,
30,28.4273,-31.5077,6.2279,92.89,0.0224,0.7888,0.99,
31,29.7385,-31.5938,6.2176,94.61,-0.0245,0.7895,-0.01,
32,31.0756,-31.6393,6.2492,96.32,0.0736,0.7967,0.99,
33,32.4333,-31.7363,6.2119,98.01,-0.1399,0.7915,-0.01,
34,33.8179,-31.7842,6.2486,99.75,0.1722,0.815,0.99,
35,35.2232,-31.8837,6.2125,101.44,-0.1021,0.7963,-0.01,
