frame,x,y,heading,speed,reward
0,0.5203,-29.1845,6.1921,10.5677,-0.01
1,1.0745,-29.2359,6.1908,11.1306,-0.01
2,1.6564,-29.2904,6.1897,11.6896,0.99
3,2.2659,-29.3481,6.1888,12.2447,-0.01
4,2.9028,-29.4088,6.1881,12.7957,-0.01
5,3.5669,-29.4723,6.1878,13.3424,-0.01
6,4.258,-29.5386,6.1876,13.8847,0.99
7,4.9758,-29.6074,6.1876,14.4224,-0.01
8,5.7202,-29.6787,6.1877,14.9555,-0.01
9,6.4909,-29.7523,6.1879,15.4838,-0.01
10,7.2876,-29.8282,6.1883,16.0072,0.99
11,8.1102,-29.9061,6.1887,16.5257,-0.01
12,8.9584,-29.986,6.1892,17.0392,-0.01
13,9.832,-30.0679,6.1897,17.5483,0.99
14,10.7308,-30.1515,6.1904,18.0523,-0.01
15,11.6544,-30.2365,6.1914,18.5513,-0.01
16,12.6028,-30.3227,6.1926,19.0453,0.99
17,13.5756,-30.4095,6.1941,19.5344,-0.01
18,14.5728,-30.4971,6.1956,20.021,0.99
19,15.5943,-30.5852,6.1972,20.5052,-0.01
20,16.64,-30.6733,6.1992,20.9871,-0.01
21,17.7098,-30.7613,6.2011,21.4687,0.99
22,18.8038,-30.849,6.2032,21.9499,-0.01
23,19.9219,-30.9364,6.2052,22.4308,0.99
24,21.0642,-31.0224,6.2081,22.9116,-0.01
25,22.2308,-31.1081,6.2099,23.393,-0.01
26,23.4215,-31.1915,6.2132,23.8742,0.99
27,24.6365,-31.2752,6.2144,24.3564,-0.01
28,25.8758,-31.3549,6.219,24.8375,0.99
29,27.1392,-31.4365,6.2187,25.3206,-0.01
30,28.4273,-31.5077,6.2279,25.8014,0.99
31,29.7385,-31.5938,6.2176,26.2811,-0.01
32,31.0756,-31.6393,6.2492,26.7562,0.99
33,32.4333,-31.7363,6.2119,27.2237,-0.01
34,33.8179,-31.7842,6.2486,27.7079,0.99
35,35.2232,-31.8837,6.2125,28.1771,-0.01
36,36.6557,-31.9341,6.248,28.6686,0.99
37,38.1103,-32.0223,6.2227,29.1447,0.99
38,39.5916,-32.0613,6.2569,29.6368,-0.01
39,41.0944,-32.1514,6.2233,30.1098,0.99
40,42.6243,-32.1925,6.2564,30.6081,-0.01
41,44.1777,-32.2551,6.2429,31.094,0.99
42,45.7569,-32.268,6.275,31.5842,-0.01
43,47.3584,-32.3317,6.2434,32.0552,0.99
44,48.9857,-32.3459,6.2745,32.5488,0.99
45,50.6356,-32.4107,6.2439,33.022,-0.01
46,52.3115,-32.4259,6.2741,33.5191,0.99
47,54.01,-32.4918,6.2444,33.9958,0.99
48,55.7347,-32.5082,6.2737,34.4955,-0.01
49,57.4838,-32.5333,6.2688,34.9855,0.99
50,59.2571,-32.5084,0.0141,35.47,0.99
51,61.0535,-32.5335,6.2692,35.932,-0.01
52,62.8741,-32.5085,0.0137,36.4152,0.99
53,64.7177,-32.5335,6.2696,36.8759,0.99
54,66.5854,-32.5085,0.0134,37.3571,-0.01
55,68.4761,-32.5335,6.27,37.8166,0.99
56,70.3907,-32.5085,0.0131,38.2952,0.99
57,72.3281,-32.5334,6.2703,38.7525,0.99
58,74.2893,-32.5083,0.0128,39.2273,-0.01
59,76.2733,-32.5332,6.2707,39.6817,0.99
60,78.2807,-32.5081,0.0125,40.1508,0.99
61,80.3105,-32.5329,6.271,40.6003,0.99
62,82.3634,-32.5078,0.0122,41.0617,-0.01
63,84.4386,-32.5326,6.2713,41.5055,0.99
64,86.5363,-32.5075,0.012,41.9575,0.99
65,88.6559,-32.5322,6.2715,42.3949,0.99
66,90.7974,-32.5072,0.0117,42.8336,0.99
67,92.9604,-32.5318,6.2718,43.2622,-0.01
68,95.1446,-32.5068,0.0115,43.6858,0.99
69,97.35,-32.5108,6.2813,44.1084,0.99
70,99.5756,-32.4649,0.0206,44.5211,0.99
71,101.8215,-32.4686,6.2816,44.9194,0.99
72,104.0869,-32.4223,0.0204,45.3173,0.99
73,106.3721,-32.4256,6.2818,45.7032,-0.01
74,108.6759,-32.379,0.0202,46.0856,0.99
75,110.9988,-32.3818,6.282,46.4581,0.99
76,113.3396,-32.3349,0.0201,46.825,0.99
77,115.6988,-32.3374,6.2821,47.1842,0.99
78,118.0751,-32.2901,0.0199,47.5363,0.99
79,120.4692,-32.2923,6.2823,47.8821,0.99
80,122.8798,-32.2447,0.0197,48.2214,0.99
81,125.3075,-32.2465,6.2824,48.5535,0.99
82,127.751,-32.1987,0.0196,48.8803,0.99
83,130.211,-32.2002,6.2826,49.1983,0.99
84,132.6861,-32.152,0.0195,49.5131,0.99
85,135.177,-32.1532,6.2827,49.8169,-0.01
86,137.6825,-32.1048,0.0193,50.1201,0.99
87,140.2031,-32.1057,6.2828,50.4112,0.99
88,142.7377,-32.0569,0.0192,50.7015,0.99
